,index,MovieName,Genre,Run_time,Score,Votes,Gross,Url,Actors,Director,Creators,Description,Relase,Keywords,RatingCount,RatingValue
0,0,#WorstThing,Horror,,,,,https://www.imdb.com/title/tt9915164/,"Karlisha Hurley, Cris Cochrane, Ella Bourne, Eric Ryan",,,,,,0,0.0
1,1,The New Estate,"Adventure, Horror",,,,,https://www.imdb.com/title/tt9914808/,"Ryan Johnson, Brad McMurray",Peter Andrikidis,"Alexander Falzon, Ella McHugh","The New Estate is a movie starring Ryan Johnson and Brad McMurray. When a vengeful spirit is unwittingly released upon a small town, 11-year-old Del and her friends take it upon themselves to rescue her brother and save their home.",,rescue,0,0.0
2,2,Hellavator,Horror,,,,,https://www.imdb.com/title/tt9911336/,,,,,,torture,0,0.0
3,3,Hellavator,Horror,,,,,https://www.imdb.com/title/tt9910964/,"Carlos Sanson Jr., Carmel Rose, Simon Watts, Alex Osmond",Kacey Baker,Kacey Baker,"Hellavator is a movie starring Carlos Sanson Jr., Carmel Rose, and Simon Watts. What goes up, doesn't always come down.",,,0,0.0
4,4,Get Rid of It,"Action, Comedy, Horror",,,,,https://www.imdb.com/title/tt9904270/,"Joseph D. Reitman, Darin Heames, Gwen Hollander",Jonathan Avigdori,Jonathan Avigdori,"Get Rid of It is a movie starring Joseph D. Reitman, Darin Heames, and Gwen Hollander. A suitcase full of unknown items leads to the deaths of those who possess it.",,suitcase,0,0.0
5,5,My Girlfriend the Serial Killer,Horror,,,,,https://www.imdb.com/title/tt9903348/,"Felissa Rose, Kaylee Williams, Robert Bess, Mel Heflin",,"Derek Huey, Samantha Marie","My Girlfriend the Serial Killer is a movie starring Felissa Rose, Kaylee Williams, and Robert Bess. MY GIRLFRIEND THE SERIAL KILLER is a Original Slasher Movie. Directed by Samantha Marie, offering a unique twist, by being directed...",,,0,0.0
6,6,The Monster in the Cell,"Horror, Thriller",,,,,https://www.imdb.com/title/tt9903002/,,,David Ernesto Vendrell,,,prison,0,0.0
7,7,The Hunting,Horror,,,,,https://www.imdb.com/title/tt9898844/,"Alan Tuskes, Angela Cole, Heidi Azaro, Joelle Westwood",Mark Andrew Hamer,"Mark Andrew Hamer, Heather Ryan, Terrance Ryan","The Hunting is a movie starring Alan Tuskes, Angela Cole, and Heidi Azaro. When a mysterious animal attack leaves a mutilated body in the forest, a conservative small town detective must enlist the help of an eager wildlife...",,detective,0,0.0
8,8,Getaway,Horror,,,,,https://www.imdb.com/title/tt9893228/,"MacCallister Byrd, Alex Sorian Brown, Charlotte Louise Spencer, Georgie Storm Waite",Lilton Stewart III,"Stef Beaton, Devan Schoelen, Lilton Stewart III","Getaway is a movie starring MacCallister Byrd, Alex Sorian Brown, and Charlotte Louise Spencer. In their last summer before college, a group of unsuspecting teenagers find themselves in a secluded cabin in the woods where unusual...",,woods,0,0.0
9,9,Project JH,Horror,,,,,https://www.imdb.com/title/tt9892852/,,,,,,,0,0.0
10,10,Resurrection Corporation,"Animation, Comedy, Horror",77 min,,,,https://www.imdb.com/title/tt9890120/,"Alessandro Bianchi, Paola Masciadri, Erik Martini, Antonio Amoruso",Alberto Genovese,Mattia De Pascali,"Resurrection Corporation is a movie starring Alessandro Bianchi, Paola Masciadri, and Erik Martini. Caligari is a famous undertaker who's been on the streets since death itself was banned in the city and supplanted by a practical...",,death,0,0.0
11,11,Oz,"Horror, Mystery, Thriller",,,,,https://www.imdb.com/title/tt9887790/,"Sean Ozment, Murry Haithcock",Jermaine Nix,,Oz is a movie starring Sean Ozment and Murry Haithcock. When four teenagers crash during a really bad thunderstorm they wake up on a yellow brick road in the middle of the woods. When they find out their not in Kansas anymore they...,,thunderstorm,0,0.0
12,12,Blood Walkers,Horror,,,,,https://www.imdb.com/title/tt9887544/,,,,,,,0,0.0
13,13,Phantasmagoria,Horror,120 min,,,,https://www.imdb.com/title/tt9887090/,,Shawn Darling,Shawn Darling,,,psychotronic film,0,0.0
